FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:239 SL:5
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:251 SL:5
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:269 SL:5
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:281 SL:5
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:299 SL:5
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:311 SL:5
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:329 SL:5
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:000 SL:6
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:018 SL:6
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:030 SL:6
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:048 SL:6
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:060 SL:6
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:078 SL:6
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:090 SL:6
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:108 SL:6
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:120 SL:6
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:138 SL:6
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:150 SL:6
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:168 SL:6
